roi_name,Net7,posR,posA,posS,colR,colG,colB
17Networks_LH_VisCent_ExStr_1,Vis,-36,-62,-16,0.47058823529411764,0.07058823529411765,0.5254901960784314
17Networks_LH_VisCent_ExStr_2,Vis,-24,-72,-10,0.47058823529411764,0.07058823529411765,0.5254901960784314
17Networks_LH_VisCent_ExStr_3,Vis,-36,-82,-16,0.47058823529411764,0.07058823529411765,0.5254901960784314
17Networks_LH_VisCent_ExStr_4,Vis,-16,-86,-16,0.47058823529411764,0.07058823529411765,0.5254901960784314
17Networks_LH_VisCent_ExStr_5,Vis,-24,-96,-12,0.47058823529411764,0.07058823529411765,0.5254901960784314
17Networks_LH_VisCent_ExStr_6,Vis,-42,-86,-4,0.47058823529411764,0.07058823529411765,0.5254901960784314
17Networks_LH_VisCent_Striate_1,Vis,-8,-98,-8,0.47058823529411764,0.07058823529411765,0.5254901960784314
17Networks_LH_VisCent_ExStr_7,Vis,-46,-74,6,0.47058823529411764,0.07058823529411765,0.5254901960784314
17Networks_LH_VisCent_ExStr_8,Vis,-24,-96,6,0.47058823529411764,0.07058823529411765,0.5254901960784314
17Networks_LH_VisCent_ExStr_9,Vis,-40,-84,14,0.47058823529411764,0.07058823529411765,0.5254901960784314
17Networks_LH_VisCent_ExStr_10,Vis,-10,-96,18,0.47058823529411764,0.07058823529411765,0.5254901960784314
17Networks_LH_VisCent_ExStr_11,Vis,-26,-84,22,0.47058823529411764,0.07058823529411765,0.5254901960784314
17Networks_LH_VisPeri_ExStrInf_1,Vis,-24,-54,-8,0.47058823529411764,0.07058823529411765,0.5254901960784314
17Networks_LH_VisPeri_ExStrInf_2,Vis,-12,-62,-4,0.47058823529411764,0.07058823529411765,0.5254901960784314
17Networks_LH_VisPeri_ExStrInf_3,Vis,-6,-76,-6,0.47058823529411764,0.07058823529411765,0.5254901960784314
17Networks_LH_VisPeri_ExStrInf_4,Vis,-14,-44,-6,0.47058823529411764,0.07058823529411765,0.5254901960784314
17Networks_LH_VisPeri_ExStrInf_5,Vis,-14,-56,2,0.47058823529411764,0.07058823529411765,0.5254901960784314
17Networks_LH_VisPeri_StriCal_1,Vis,-4,-88,2,0.47058823529411764,0.07058823529411765,0.5254901960784314
17Networks_LH_VisPeri_StriCal_2,Vis,-8,-74,10,0.47058823529411764,0.07058823529411765,0.5254901960784314
17Networks_LH_VisPeri_ExStrSup_1,Vis,-18,-64,6,0.47058823529411764,0.07058823529411765,0.5254901960784314
17Networks_LH_VisPeri_ExStrSup_2,Vis,-2,-84,24,0.47058823529411764,0.07058823529411765,0.5254901960784314
17Networks_LH_VisPeri_ExStrSup_3,Vis,-12,-72,20,0.47058823529411764,0.07058823529411765,0.5254901960784314
17Networks_LH_VisPeri_ExStrSup_4,Vis,-16,-88,34,0.47058823529411764,0.07058823529411765,0.5254901960784314
17Networks_LH_VisPeri_ExStrSup_5,Vis,-12,-82,36,0.47058823529411764,0.07058823529411765,0.5254901960784314
17Networks_LH_SomMotA_1,SomMot,-8,-16,48,0.27450980392156865,0.5098039215686274,0.7058823529411765
17Networks_LH_SomMotA_2,SomMot,-40,-14,48,0.27450980392156865,0.5098039215686274,0.7058823529411765
17Networks_LH_SomMotA_3,SomMot,-48,-18,54,0.27450980392156865,0.5098039215686274,0.7058823529411765
17Networks_LH_SomMotA_4,SomMot,-48,-30,58,0.27450980392156865,0.5098039215686274,0.7058823529411765
17Networks_LH_SomMotA_5,SomMot,-38,-24,52,0.27450980392156865,0.5098039215686274,0.7058823529411765
17Networks_LH_SomMotA_6,SomMot,-8,-38,54,0.27450980392156865,0.5098039215686274,0.7058823529411765
17Networks_LH_SomMotA_7,SomMot,-4,-24,56,0.27450980392156865,0.5098039215686274,0.7058823529411765
17Networks_LH_SomMotA_8,SomMot,-4,-8,60,0.27450980392156865,0.5098039215686274,0.7058823529411765
17Networks_LH_SomMotA_9,SomMot,-36,-20,64,0.27450980392156865,0.5098039215686274,0.7058823529411765
17Networks_LH_SomMotA_10,SomMot,-32,-30,62,0.27450980392156865,0.5098039215686274,0.7058823529411765
17Networks_LH_SomMotA_11,SomMot,-30,-38,66,0.27450980392156865,0.5098039215686274,0.7058823529411765
17Networks_LH_SomMotA_12,SomMot,-24,-10,64,0.27450980392156865,0.5098039215686274,0.7058823529411765
17Networks_LH_SomMotA_13,SomMot,-20,-24,66,0.27450980392156865,0.5098039215686274,0.7058823529411765
17Networks_LH_SomMotA_14,SomMot,-8,-42,70,0.27450980392156865,0.5098039215686274,0.7058823529411765
17Networks_LH_SomMotA_15,SomMot,-4,-26,68,0.27450980392156865,0.5098039215686274,0.7058823529411765
17Networks_LH_SomMotA_16,SomMot,-14,-12,72,0.27450980392156865,0.5098039215686274,0.7058823529411765
17Networks_LH_SomMotA_17,SomMot,-18,-32,68,0.27450980392156865,0.5098039215686274,0.7058823529411765
17Networks_LH_SomMotA_18,SomMot,-18,-40,72,0.27450980392156865,0.5098039215686274,0.7058823529411765
17Networks_LH_SomMotA_19,SomMot,-12,-26,74,0.27450980392156865,0.5098039215686274,0.7058823529411765
17Networks_LH_SomMotB_Aud_1,SomMot,-50,-10,0,0.27450980392156865,0.5098039215686274,0.7058823529411765
17Networks_LH_SomMotB_Aud_2,SomMot,-56,-22,8,0.27450980392156865,0.5098039215686274,0.7058823529411765
17Networks_LH_SomMotB_Ins_1,SomMot,-36,-24,10,0.27450980392156865,0.5098039215686274,0.7058823529411765
17Networks_LH_SomMotB_S2_1,SomMot,-38,-8,12,0.27450980392156865,0.5098039215686274,0.7058823529411765
17Networks_LH_SomMotB_S2_2,SomMot,-36,-26,18,0.27450980392156865,0.5098039215686274,0.7058823529411765
17Networks_LH_SomMotB_Aud_3,SomMot,-58,-36,16,0.27450980392156865,0.5098039215686274,0.7058823529411765
17Networks_LH_SomMotB_Aud_4,SomMot,-40,-36,14,0.27450980392156865,0.5098039215686274,0.7058823529411765
17Networks_LH_SomMotB_S2_3,SomMot,-48,-12,14,0.27450980392156865,0.5098039215686274,0.7058823529411765
17Networks_LH_SomMotB_S2_4,SomMot,-60,-2,10,0.27450980392156865,0.5098039215686274,0.7058823529411765
17Networks_LH_SomMotB_S2_5,SomMot,-48,-24,18,0.27450980392156865,0.5098039215686274,0.7058823529411765
17Networks_LH_SomMotB_S2_6,SomMot,-62,-18,20,0.27450980392156865,0.5098039215686274,0.7058823529411765
17Networks_LH_SomMotB_Cent_1,SomMot,-60,-2,24,0.27450980392156865,0.5098039215686274,0.7058823529411765
17Networks_LH_SomMotB_Cent_2,SomMot,-62,-10,32,0.27450980392156865,0.5098039215686274,0.7058823529411765
17Networks_LH_SomMotB_Cent_3,SomMot,-54,-8,30,0.27450980392156865,0.5098039215686274,0.7058823529411765
17Networks_LH_SomMotB_Cent_4,SomMot,-52,-6,44,0.27450980392156865,0.5098039215686274,0.7058823529411765
17Networks_LH_SomMotB_Cent_5,SomMot,-48,-16,40,0.27450980392156865,0.5098039215686274,0.7058823529411765
17Networks_LH_DorsAttnA_TempOcc_1,DorsAttn,-44,-42,-22,0.0,0.4627450980392157,0.054901960784313725
17Networks_LH_DorsAttnA_TempOcc_2,DorsAttn,-32,-42,-20,0.0,0.4627450980392157,0.054901960784313725
17Networks_LH_DorsAttnA_TempOcc_3,DorsAttn,-48,-56,-16,0.0,0.4627450980392157,0.054901960784313725
17Networks_LH_DorsAttnA_TempOcc_4,DorsAttn,-46,-70,-8,0.0,0.4627450980392157,0.054901960784313725
17Networks_LH_DorsAttnA_ParOcc_1,DorsAttn,-48,-66,16,0.0,0.4627450980392157,0.054901960784313725
17Networks_LH_DorsAttnA_ParOcc_2,DorsAttn,-32,-84,26,0.0,0.4627450980392157,0.054901960784313725
17Networks_LH_DorsAttnA_SPL_1,DorsAttn,-26,-70,30,0.0,0.4627450980392157,0.054901960784313725
17Networks_LH_DorsAttnA_SPL_2,DorsAttn,-22,-78,44,0.0,0.4627450980392157,0.054901960784313725
17Networks_LH_DorsAttnA_SPL_3,DorsAttn,-22,-66,46,0.0,0.4627450980392157,0.054901960784313725
17Networks_LH_DorsAttnA_SPL_4,DorsAttn,-28,-58,50,0.0,0.4627450980392157,0.054901960784313725
17Networks_LH_DorsAttnA_SPL_5,DorsAttn,-36,-52,56,0.0,0.4627450980392157,0.054901960784313725
17Networks_LH_DorsAttnA_SPL_6,DorsAttn,-14,-70,58,0.0,0.4627450980392157,0.054901960784313725
17Networks_LH_DorsAttnA_SPL_7,DorsAttn,-28,-62,62,0.0,0.4627450980392157,0.054901960784313725
17Networks_LH_DorsAttnB_PostC_1,DorsAttn,-62,-24,32,0.0,0.4627450980392157,0.054901960784313725
17Networks_LH_DorsAttnB_PostC_2,DorsAttn,-54,-20,40,0.0,0.4627450980392157,0.054901960784313725
17Networks_LH_DorsAttnB_PostC_3,DorsAttn,-54,-32,44,0.0,0.4627450980392157,0.054901960784313725
17Networks_LH_DorsAttnB_PostC_4,DorsAttn,-46,-30,44,0.0,0.4627450980392157,0.054901960784313725
17Networks_LH_DorsAttnB_PostC_5,DorsAttn,-38,-38,50,0.0,0.4627450980392157,0.054901960784313725
17Networks_LH_DorsAttnB_PostC_6,DorsAttn,-30,-46,62,0.0,0.4627450980392157,0.054901960784313725
17Networks_LH_DorsAttnB_PostC_7,DorsAttn,-8,-58,64,0.0,0.4627450980392157,0.054901960784313725
17Networks_LH_DorsAttnB_PostC_8,DorsAttn,-20,-56,66,0.0,0.4627450980392157,0.054901960784313725
17Networks_LH_DorsAttnB_PostC_9,DorsAttn,-14,-50,72,0.0,0.4627450980392157,0.054901960784313725
17Networks_LH_DorsAttnB_FEF_1,DorsAttn,-40,-2,52,0.0,0.4627450980392157,0.054901960784313725
17Networks_LH_DorsAttnB_FEF_2,DorsAttn,-26,0,56,0.0,0.4627450980392157,0.054901960784313725
17Networks_LH_DorsAttnB_FEF_3,DorsAttn,-30,-8,52,0.0,0.4627450980392157,0.054901960784313725
17Networks_LH_DorsAttnB_PrCv_1,DorsAttn,-50,2,38,0.0,0.4627450980392157,0.054901960784313725
17Networks_LH_SalVentAttnA_ParOper_1,SalVentAttn,-54,-32,22,0.7686274509803922,0.22745098039215686,0.9803921568627451
17Networks_LH_SalVentAttnA_ParOper_2,SalVentAttn,-58,-44,28,0.7686274509803922,0.22745098039215686,0.9803921568627451
17Networks_LH_SalVentAttnA_ParOper_3,SalVentAttn,-62,-36,34,0.7686274509803922,0.22745098039215686,0.9803921568627451
17Networks_LH_SalVentAttnA_Ins_1,SalVentAttn,-38,2,-4,0.7686274509803922,0.22745098039215686,0.9803921568627451
