roi_name,Net7,posR,posA,posS,colR,colG,colB
7Networks_LH_Vis_1,Vis,-32,-42,-20,0.47058823529411764,0.07058823529411765,0.5254901960784314
7Networks_LH_Vis_2,Vis,-30,-32,-18,0.47058823529411764,0.07058823529411765,0.5254901960784314
7Networks_LH_Vis_3,Vis,-36,-62,-16,0.47058823529411764,0.07058823529411765,0.5254901960784314
7Networks_LH_Vis_4,Vis,-24,-54,-8,0.47058823529411764,0.07058823529411765,0.5254901960784314
7Networks_LH_Vis_5,Vis,-24,-72,-10,0.47058823529411764,0.07058823529411765,0.5254901960784314
7Networks_LH_Vis_6,Vis,-36,-82,-16,0.47058823529411764,0.07058823529411765,0.5254901960784314
7Networks_LH_Vis_7,Vis,-18,-38,-12,0.47058823529411764,0.07058823529411765,0.5254901960784314
7Networks_LH_Vis_8,Vis,-46,-70,-8,0.47058823529411764,0.07058823529411765,0.5254901960784314
7Networks_LH_Vis_9,Vis,-16,-86,-16,0.47058823529411764,0.07058823529411765,0.5254901960784314
7Networks_LH_Vis_10,Vis,-12,-62,-4,0.47058823529411764,0.07058823529411765,0.5254901960784314
7Networks_LH_Vis_11,Vis,-6,-76,-6,0.47058823529411764,0.07058823529411765,0.5254901960784314
7Networks_LH_Vis_12,Vis,-24,-96,-12,0.47058823529411764,0.07058823529411765,0.5254901960784314
7Networks_LH_Vis_13,Vis,-14,-44,-6,0.47058823529411764,0.07058823529411765,0.5254901960784314
7Networks_LH_Vis_14,Vis,-42,-86,-4,0.47058823529411764,0.07058823529411765,0.5254901960784314
7Networks_LH_Vis_15,Vis,-8,-98,-8,0.47058823529411764,0.07058823529411765,0.5254901960784314
7Networks_LH_Vis_16,Vis,-14,-56,2,0.47058823529411764,0.07058823529411765,0.5254901960784314
7Networks_LH_Vis_17,Vis,-46,-74,6,0.47058823529411764,0.07058823529411765,0.5254901960784314
7Networks_LH_Vis_18,Vis,-4,-88,2,0.47058823529411764,0.07058823529411765,0.5254901960784314
7Networks_LH_Vis_19,Vis,-24,-96,6,0.47058823529411764,0.07058823529411765,0.5254901960784314
7Networks_LH_Vis_20,Vis,-14,-48,4,0.47058823529411764,0.07058823529411765,0.5254901960784314
7Networks_LH_Vis_21,Vis,-8,-74,10,0.47058823529411764,0.07058823529411765,0.5254901960784314
7Networks_LH_Vis_22,Vis,-18,-64,6,0.47058823529411764,0.07058823529411765,0.5254901960784314
7Networks_LH_Vis_23,Vis,-40,-84,14,0.47058823529411764,0.07058823529411765,0.5254901960784314
7Networks_LH_Vis_24,Vis,-10,-96,18,0.47058823529411764,0.07058823529411765,0.5254901960784314
7Networks_LH_Vis_25,Vis,-2,-84,24,0.47058823529411764,0.07058823529411765,0.5254901960784314
7Networks_LH_Vis_26,Vis,-12,-72,20,0.47058823529411764,0.07058823529411765,0.5254901960784314
7Networks_LH_Vis_27,Vis,-26,-84,22,0.47058823529411764,0.07058823529411765,0.5254901960784314
7Networks_LH_Vis_28,Vis,-32,-84,26,0.47058823529411764,0.07058823529411765,0.5254901960784314
7Networks_LH_Vis_29,Vis,-16,-88,34,0.47058823529411764,0.07058823529411765,0.5254901960784314
7Networks_LH_Vis_30,Vis,-12,-82,36,0.47058823529411764,0.07058823529411765,0.5254901960784314
7Networks_LH_Vis_31,Vis,-22,-78,44,0.47058823529411764,0.07058823529411765,0.5254901960784314
7Networks_LH_SomMot_1,SomMot,-50,-10,0,0.27450980392156865,0.5098039215686274,0.7058823529411765
7Networks_LH_SomMot_2,SomMot,-56,-22,8,0.27450980392156865,0.5098039215686274,0.7058823529411765
7Networks_LH_SomMot_3,SomMot,-36,-24,10,0.27450980392156865,0.5098039215686274,0.7058823529411765
7Networks_LH_SomMot_4,SomMot,-38,-8,12,0.27450980392156865,0.5098039215686274,0.7058823529411765
7Networks_LH_SomMot_5,SomMot,-36,-26,18,0.27450980392156865,0.5098039215686274,0.7058823529411765
7Networks_LH_SomMot_6,SomMot,-58,-36,16,0.27450980392156865,0.5098039215686274,0.7058823529411765
7Networks_LH_SomMot_7,SomMot,-40,-36,14,0.27450980392156865,0.5098039215686274,0.7058823529411765
7Networks_LH_SomMot_8,SomMot,-48,-12,14,0.27450980392156865,0.5098039215686274,0.7058823529411765
7Networks_LH_SomMot_9,SomMot,-60,-2,10,0.27450980392156865,0.5098039215686274,0.7058823529411765
7Networks_LH_SomMot_10,SomMot,-48,-24,18,0.27450980392156865,0.5098039215686274,0.7058823529411765
7Networks_LH_SomMot_11,SomMot,-62,-18,20,0.27450980392156865,0.5098039215686274,0.7058823529411765
7Networks_LH_SomMot_12,SomMot,-60,-2,24,0.27450980392156865,0.5098039215686274,0.7058823529411765
7Networks_LH_SomMot_13,SomMot,-62,-10,32,0.27450980392156865,0.5098039215686274,0.7058823529411765
7Networks_LH_SomMot_14,SomMot,-54,-8,30,0.27450980392156865,0.5098039215686274,0.7058823529411765
7Networks_LH_SomMot_15,SomMot,-54,-20,40,0.27450980392156865,0.5098039215686274,0.7058823529411765
7Networks_LH_SomMot_16,SomMot,-52,-6,44,0.27450980392156865,0.5098039215686274,0.7058823529411765
7Networks_LH_SomMot_17,SomMot,-48,-16,40,0.27450980392156865,0.5098039215686274,0.7058823529411765
7Networks_LH_SomMot_18,SomMot,-8,-16,48,0.27450980392156865,0.5098039215686274,0.7058823529411765
7Networks_LH_SomMot_19,SomMot,-40,-14,48,0.27450980392156865,0.5098039215686274,0.7058823529411765
7Networks_LH_SomMot_20,SomMot,-48,-18,54,0.27450980392156865,0.5098039215686274,0.7058823529411765
7Networks_LH_SomMot_21,SomMot,-48,-30,58,0.27450980392156865,0.5098039215686274,0.7058823529411765
7Networks_LH_SomMot_22,SomMot,-38,-24,52,0.27450980392156865,0.5098039215686274,0.7058823529411765
7Networks_LH_SomMot_23,SomMot,-8,-38,54,0.27450980392156865,0.5098039215686274,0.7058823529411765
7Networks_LH_SomMot_24,SomMot,-4,-24,56,0.27450980392156865,0.5098039215686274,0.7058823529411765
7Networks_LH_SomMot_25,SomMot,-4,-8,60,0.27450980392156865,0.5098039215686274,0.7058823529411765
7Networks_LH_SomMot_26,SomMot,-36,-20,64,0.27450980392156865,0.5098039215686274,0.7058823529411765
7Networks_LH_SomMot_27,SomMot,-30,-46,62,0.27450980392156865,0.5098039215686274,0.7058823529411765
7Networks_LH_SomMot_28,SomMot,-32,-30,62,0.27450980392156865,0.5098039215686274,0.7058823529411765
7Networks_LH_SomMot_29,SomMot,-30,-38,66,0.27450980392156865,0.5098039215686274,0.7058823529411765
7Networks_LH_SomMot_30,SomMot,-24,-10,64,0.27450980392156865,0.5098039215686274,0.7058823529411765
7Networks_LH_SomMot_31,SomMot,-20,-24,66,0.27450980392156865,0.5098039215686274,0.7058823529411765
7Networks_LH_SomMot_32,SomMot,-8,-42,70,0.27450980392156865,0.5098039215686274,0.7058823529411765
7Networks_LH_SomMot_33,SomMot,-4,-26,68,0.27450980392156865,0.5098039215686274,0.7058823529411765
7Networks_LH_SomMot_34,SomMot,-14,-12,72,0.27450980392156865,0.5098039215686274,0.7058823529411765
7Networks_LH_SomMot_35,SomMot,-18,-32,68,0.27450980392156865,0.5098039215686274,0.7058823529411765
7Networks_LH_SomMot_36,SomMot,-18,-40,72,0.27450980392156865,0.5098039215686274,0.7058823529411765
7Networks_LH_SomMot_37,SomMot,-12,-26,74,0.27450980392156865,0.5098039215686274,0.7058823529411765
7Networks_LH_DorsAttn_Post_1,DorsAttn,-44,-42,-22,0.0,0.4627450980392157,0.054901960784313725
7Networks_LH_DorsAttn_Post_2,DorsAttn,-48,-56,-16,0.0,0.4627450980392157,0.054901960784313725
7Networks_LH_DorsAttn_Post_3,DorsAttn,-56,-62,0,0.0,0.4627450980392157,0.054901960784313725
7Networks_LH_DorsAttn_Post_4,DorsAttn,-48,-66,16,0.0,0.4627450980392157,0.054901960784313725
7Networks_LH_DorsAttn_Post_5,DorsAttn,-26,-70,30,0.0,0.4627450980392157,0.054901960784313725
7Networks_LH_DorsAttn_Post_6,DorsAttn,-54,-32,44,0.0,0.4627450980392157,0.054901960784313725
7Networks_LH_DorsAttn_Post_7,DorsAttn,-22,-66,46,0.0,0.4627450980392157,0.054901960784313725
7Networks_LH_DorsAttn_Post_8,DorsAttn,-46,-30,44,0.0,0.4627450980392157,0.054901960784313725
7Networks_LH_DorsAttn_Post_9,DorsAttn,-34,-46,40,0.0,0.4627450980392157,0.054901960784313725
7Networks_LH_DorsAttn_Post_10,DorsAttn,-28,-58,50,0.0,0.4627450980392157,0.054901960784313725
7Networks_LH_DorsAttn_Post_11,DorsAttn,-38,-38,50,0.0,0.4627450980392157,0.054901960784313725
7Networks_LH_DorsAttn_Post_12,DorsAttn,-36,-52,56,0.0,0.4627450980392157,0.054901960784313725
7Networks_LH_DorsAttn_Post_13,DorsAttn,-14,-70,58,0.0,0.4627450980392157,0.054901960784313725
7Networks_LH_DorsAttn_Post_14,DorsAttn,-28,-62,62,0.0,0.4627450980392157,0.054901960784313725
7Networks_LH_DorsAttn_Post_15,DorsAttn,-8,-58,64,0.0,0.4627450980392157,0.054901960784313725
7Networks_LH_DorsAttn_Post_16,DorsAttn,-20,-56,66,0.0,0.4627450980392157,0.054901960784313725
7Networks_LH_DorsAttn_Post_17,DorsAttn,-14,-50,72,0.0,0.4627450980392157,0.054901960784313725
7Networks_LH_DorsAttn_FEF_1,DorsAttn,-40,-2,52,0.0,0.4627450980392157,0.054901960784313725
7Networks_LH_DorsAttn_FEF_2,DorsAttn,-26,0,56,0.0,0.4627450980392157,0.054901960784313725
7Networks_LH_DorsAttn_FEF_3,DorsAttn,-30,-8,52,0.0,0.4627450980392157,0.054901960784313725
7Networks_LH_DorsAttn_FEF_4,DorsAttn,-22,6,64,0.0,0.4627450980392157,0.054901960784313725
7Networks_LH_DorsAttn_PrCv_1,DorsAttn,-50,6,26,0.0,0.4627450980392157,0.054901960784313725
7Networks_LH_DorsAttn_PrCv_2,DorsAttn,-50,2,38,0.0,0.4627450980392157,0.054901960784313725
7Networks_LH_SalVentAttn_ParOper_1,SalVentAttn,-54,-32,22,0.7686274509803922,0.22745098039215686,0.9803921568627451
7Networks_LH_SalVentAttn_ParOper_2,SalVentAttn,-58,-44,28,0.7686274509803922,0.22745098039215686,0.9803921568627451
7Networks_LH_SalVentAttn_ParOper_3,SalVentAttn,-62,-24,32,0.7686274509803922,0.22745098039215686,0.9803921568627451
7Networks_LH_SalVentAttn_ParOper_4,SalVentAttn,-62,-36,34,0.7686274509803922,0.22745098039215686,0.9803921568627451
7Networks_LH_SalVentAttn_TempOcc_1,SalVentAttn,-58,-54,10,0.7686274509803922,0.22745098039215686,0.9803921568627451
7Networks_LH_SalVentAttn_FrOperIns_1,SalVentAttn,-44,6,-16,0.7686274509803922,0.22745098039215686,0.9803921568627451
7Networks_LH_SalVentAttn_FrOperIns_2,SalVentAttn,-38,2,-4,0.7686274509803922,0.22745098039215686,0.9803921568627451
7Networks_LH_SalVentAttn_FrOperIns_3,SalVentAttn,-32,24,0,0.7686274509803922,0.22745098039215686,0.9803921568627451
